year	locale	beforeMonth	month	beforeDay	day	hour	ymdt	duration	unknown	longitude	latitude	elevation	relativeAltitude	continentCode	countryCode	area	locationFlags	miscellaneousFlags	typeOfUfoCraftFlags	aliensMonstersFlags	apparentUfoOccupantActivitiesFlags	placesVisitedAndThingsAffectedFlags	evidenceAndSpecialEffectsFlags	miscellaneousDetailsFlags	description	location	title	ref	refIndex	strangeness	credibility
1733	2	0	12	0	8	70	255	60	0	0.8333333333325	51.2777777777265	-99	999	3	1	ENG	195	128	5	128	0	0	0	0	"SLVR SCR DARTS to+fro
>>NW
SAME BERKS><KENT/11DEC1753"	FLEET,DORSET	1+2 OBS	186	26	6	6
1741	0	0	12	1	11	77	255	1	0	0.0666666666666	51.49999999994851	-99	999	3	1	ENG	67	136	40	128	0	0	0	0	"LEVELS >>ESE+AWAY
/r186#26+/r34p85"	HERTSFORDSHIRE+LONDON,ENG	20cm FBL FALLS	195	131	4	8
1743	0	0	12	1	16	124	255	1	0	0.0444444444444	51.49999999994851	-99	999	3	1	ENG	195	1	35	128	0	0	0	0	"FLAMING RED-GLO CYL RISES
>NE/SLOW WAVY TRAJECT
/MJ#148"	LONDON	M.CROMWELL	195	22	6	7
1744	2	0	6	1	6	0	253	1	0	-15.833333333317501	50.1999999999498	-99	999	4	2	VYC	67	0	1	128	0	0	0	0	"NFD
/LDLN #326p34"	HRADEC-KRALOVY,CZK	2 BRILLIANT DISKS SEEN	194	70	6	6
1749	3	0	1	0	2	0	232	128	0	-139.99999999986	36.0444444444084	-99	999	6	1	HNS	67	192	1	128	1	0	64	0	"LATER THEY LINE UP
DAYS LATER 2 MORE SHOW"	JAPAN/LOC UNK	3 MOONLIKE OBJS/4 DAYS	4	12	6	6
1752	12	0	4	0	15	0	253	1	0	-5.722222222216501	58.944444444385496	-99	999	3	2	NRW	71	68	9	128	0	0	0	0	/CHARLES FORT/BOOK OF THE DAMNED+IFS#26	STAVANGER,NORWAY	'OCTAGONAL STAR' SEEN	171	0	5	7
1752	10	0	6	0	1	0	245	10	0	-14.999999999985	59.99999999994	-99	999	3	2	SWD	67	0	3	128	0	0	0	0	"COORDS APRX
/IFS#26"	AUGERMANLAND,SWD	LUM SPHERES EXIT BRITE CYL.IN SKY	2	13	6	6
1755	1	0	8	0	15	126	254	5	0	0.2666666666664	51.4777777777263	-99	2	3	1	ENG	67	0	17	128	3	128	0	0	DROPS+HVRS JUST OVR GROUND	CHISWICK,LONDON	ODD SPHERE SHOOTS BRILL.BEAMS	186	26	7	7
1756	0	0	1	0	2	96	255	20	0	-7.755555555547801	45.0777777777327	239	999	3	9	TO.	195	8	32	128	0	0	0	16	"BLUE OBJ SHOOTS FLAMES/20 MINUTES PASSING
NFD"	TORINO,ITL	BLAST SHAKES SKY	186	26	5	6
1758	0	0	11	0	26	0	253	1	0	3.2333333333301004	55.9444444443885	32	999	3	1	SCT	71	0	17	128	1	0	32	0	OFFLOADS 3 SML DISKS+FLIES AWAY!	EDINBURGH,SCOTL	FAST CONICAL OBJ FLIES OVER	186	26	6	8
1762	17	0	8	0	9	0	253	30	0	-7.5666666666591	47.5111111110636	-99	999	3	10	BSL	195	65	2	128	0	0	1	0	"HUGE CGR CROSSES SOLAR DISK
OUTER EDGE GLOWS"	BASEL+SOLETHURN,SWZ	2 ASTRONOMERS	2	13	7	8
1767	2	0	9	1	0	0	245	1	0	3.2666666666634	56.544444444387906	59	2	3	1	SCT	195	4	4	128	0	120	144	0	"LIFTS CART
KNOCKS MAN/HORSE
DAMAGES BLDGs
/r186#28"	COUPAR ANGUS,SCOT	PYRAMID	195	0	8	9
1768	20	0	9	0	1	0	249	5	0	-12.399999999987601	51.2999999999487	-99	999	3	3	SXN	67	73	8	128	0	0	0	0	"BALLET of MINIATURE LITES/ROADSIDE HOLLOW
/IFS#28"	nr LEIPZIG,GERMANY	GOETHE	4	20	5	6
1780	2	0	2	1	5	42	253	15	0	-3.2444444444412	48.9222222221733	-99	999	3	5	S&M	195	64	32	128	0	0	64	0	"FLAMING 'DRAGON' >OVHD/15min
LITES ALL BELOW BRIGHTLY"	BUSSIERES,FR	CVL RECORDS	194	82	4	8
1783	0	0	8	0	18	129	255	20	0	0	51.466666666615204	-99	999	3	1	ENG	195	73	19	128	0	0	64	0	"meteors?
/r2p13+IFS#28"	GREENWICH,ENGL+BELGIUM	CLOUD CGR+8 SPHERES ALL >SE SLOW	2	145	2	9
1793	1	0	11	0	27	117	254	30	0	-23.8555555555317	45.0999999999549	-99	999	4	5	BUC	67	64	1	128	0	0	32	0	"NEXT DAY 'MOON' E>W/30min ACRS SKY +STOPS!
/LDLN#119"	FLORESTI,ROM	EARTHQUAKE	84	222	7	6
1795	2	0	11	0	18	138	255	10	0	1.4666666666652002	52.9333333332804	67	999	3	1	ENG	195	0	32	128	0	0	32	128	"FBL BOUNCES +
ODD CLOUDS
SONIC BOOMS
NFD"	DERBY,ENGL	MANY OBS	232	77	6	11
1796	12	0	10	0	0	42	230	20	0	64.46666666660221	45.06666666662161	12	999	0	1	NSC	199	0	1	68	0	0	0	0	"15 AIRSHIPS >>E
MAN SEEN/FRONT END/1 SHIP
/r54p18"	NEW MINAS,NS	3 OBS	179	15	8	6
1798	2	0	9	0	10	136	255	5	0	1.7111111111094002	55.0777777777227	61	999	3	1	ENG	67	64	3	128	0	0	0	0	"SPLITS>2 SCRS W/LUM.RAYS
VANISHES/5min"	ALNWICK,N.ENGLAND	CYL.JUMPS FROM CLOUD	186	28	6	7
1799	2	0	7	0	0	0	245	2	0	-3.1999999999968	51.1999999999488	-99	999	3	4	BLG	67	1	32	128	0	0	0	0	"RETURNS >> N
THEN MAKES 45� TURN>>NW"	BRUGES,BELGIUM	UNUSUAL METEOR GOES S	231	77	6	7
1803	12	0	2	0	22	0	253	10	0	-139.66666666652702	35.4999999999645	-99	0	6	1	HNS	199	88	65	4	128	128	32	0	"YOUNG WOMAN EXITS
VERY WHITE SKIN.."	nr TOKYO,JAPAN	6M SCR-SHIP FLOATS ASHORE	87	34	8	2
1808	2	0	5	0	16	90	254	1	0	-15.077777777762702	58.3888888888305	-99	999	3	2	SWD	67	68	17	128	0	0	32	0	"BROWN HAT-CROWN SIZE OBJS PASS OVHD>>E
/C.FORT"	SKANNINGE,SWEDEN	SKY TURNS RED	171	0	7	7
1809	0	0	8	1	10	0	253	10	0	0.07777777777770001	51.5111111110596	-99	999	3	1	ENG	67	73	34	128	66	0	8	128	"MANY NLTS MNVR/DARK CLOUD COVER
NFD
/r2p14"	LONDON	SCIENTIST STAVELEY	210	147	3	9
1811	0	0	11	0	7	125	255	2	0	0.0999999999999	51.4777777777263	-99	999	3	1	ENG	67	0	40	128	0	0	0	128	"LRG METEOR MOVES IN SUDDEN JUMPS
ENTERS CLOUD
NEVER EXITS"	LONDON,ENG	T.FORSTER	232	77	6	6
1812	20	0	4	1	0	120	230	2	0	-5.9222222222163	43.91111111106721	-99	3	3	5	AHP	195	0	1	64	1	128	0	0	"LUMn.GLOBE >OVR ROAD
4 FIGs W/LITES INSIDE
volcano active"	NE/MANOSQUE,FR	7 OBS	194	57	8	6
1812	15	0	5	0	1	54	253	208	0	59.54444444438491	13.0777777777647	3	999	2	5	BRB	231	64	2	128	0	0	112	144	"other clouds move
BLASTS
BIG ASH FALL"	BARBADOS ISL	2 LRG CLRD CLOUDS HVR/12hrs	232	76	5	8
1813	0	0	3	0	22	116	255	1	0	0.11111111111100001	51.5111111110596	-99	999	3	1	ENG	195	5	5	128	3	0	0	0	">W
BEAMS RAYS ALLO
GLO-ORBS EXIT"	LONDON+AREA	TRIANGULAR 'METEOR' HVRS nr CLOUD	232	76	6	8
1814	3	0	9	0	5	66	255	50	0	-0.4999999999995	44.333333333289	-99	999	3	5	L&G	195	8	1	128	0	2	48	128	"SPINS+SHOOTS>>S
STONES FALL
FADES"	NW/AGEN,FR	SML ROUND CLOUD HVRS/STRONG WIND	232	77	7	8
1817	3	0	9	1	25	111	255	3	0	-3.5777777777742004	44.4999999999555	-99	999	3	5	LZR	195	4	1	128	1	64	0	0	"RED-GLO DISK DISK > nr ROMAN RUINS/2-3min
/JOURNAL de LOZERE"	LANEJOIS,FR	3 OBS	194	70	6	8
1820	3	0	9	0	7	120	249	5	0	-6.4999999999935	44.566666666622105	-99	999	3	5	HAL	227	0	17	128	1	0	0	0	"SCRS MNVR/MIL PRECISION during LUNAR ECLIPSE
90�TURNS etc"	EMBRUN,FR	MANY OBS	34	85	6	8
1822	0	0	10	0	23	0	253	8	0	-13.399999999986601	52.5333333332808	-99	999	3	3	BRL	195	65	1	128	0	0	64	0	"ASTRONOMER PASTORFF
2 DISKS PASS SUN'S FACE
NFD"	BERLIN,GERMANY	DATE UNK	2	15	6	9
